,cause_0,effect_0,cause_1,effect_1,label
0,The sun was rising.,My body cast a shadow over the grass.,The grass was cut.,My body cast a shadow over the grass.,0
1,The woman knew her friend was going through a hard time.,The woman tolerated her friend's difficult behavior.,The woman felt that her friend took advantage of her kindness.,The woman tolerated her friend's difficult behavior.,0
2,The cafe reopened in a new location.,The women met for coffee.,They wanted to catch up with each other.,The women met for coffee.,1
3,It was a surprise party.,The guests of the party hid behind the couch.,It was a birthday party.,The guests of the party hid behind the couch.,0
4,He ran negative campaign ads.,The politician lost the election.,No one voted for him.,The politician lost the election.,1
5,I patched the shirt.,The stain came out of the shirt.,I bleached the shirt.,The stain came out of the shirt.,1
6,He greeted the cashier.,The man got a discount on his groceries.,He used a coupon.,The man got a discount on his groceries.,1
7,The physician misdiagnosed the patient.,The patient filed a malpractice lawsuit against the physician.,The physician misdiagnosed the patient.,The patient disclosed confidential information to the physician.,0
8,The sales associate undercharged the customer.,The customer filed a complaint with the store manager.,The sales associate acted rude to the customer.,The customer filed a complaint with the store manager.,1
9,The faucet was leaky.,The woman repaired her faucet.,The faucet was turned off.,The woman repaired her faucet.,0
10,The elderly woman suffered a stroke.,The woman's daughter came over to clean her house.,The elderly woman suffered a stroke.,The woman's daughter moved in to take care of her.,1
11,The pond froze over for the winter.,People skated on the pond.,The pond froze over for the winter.,People brought boats to the pond.,0
12,The offender violated parole.,She was sent back to jail.,The offender violated parole.,She stole money from a church.,0
13,Her friend stuck an ice cube down her back.,The girl gasped.,Her friend gave her a pat on the back.,The girl gasped.,0
14,I poured bleach on it.,The shirt shrunk.,I put it in the dryer.,The shirt shrunk.,1
15,It got dark outside.,Snowflakes began to fall from the sky.,It got dark outside.,The moon became visible in the sky.,1
16,The caller said goodbye to me.,I hung up the phone.,The caller identified himself to me.,I hung up the phone.,0
17,The woman's ring slipped off in the shower.,The woman polished the ring.,The woman's ring slipped off in the shower.,The ring went down the drain.,1
18,She won a spelling bee.,The girl received a trophy.,She made a new friend.,The girl received a trophy.,0
19,The woman's date wanted to look like a gentleman.,He opened the door for her.,The woman's date wanted to look like a gentleman.,He asked her if she liked sushi.,0
20,She was certain she had the flu.,The host cancelled the party.,She worried she would catch the flu.,The host cancelled the party.,0
21,She was attracted to him.,The woman gave the man her phone number.,She was repulsed by him.,The woman gave the man her phone number.,0
22,She opened her parachute.,The skydiver glided safely to the ground.,She jumped out of the plane.,The skydiver glided safely to the ground.,0
23,The toddler became cranky.,Her mother put her down for a nap.,The toddler became cranky.,Her mother fixed her hair into pigtails.,0
24,The grape juice fermented.,The juice turned to wine.,The grape juice fermented.,The juice evaporated.,0
25,The friends saw eye to eye.,The friends' debate dragged on interminably.,The friends were splitting hairs.,The friends' debate dragged on interminably.,1
26,She was nervous.,The woman hummed to herself.,She was in a good mood.,The woman hummed to herself.,1
27,The police aimed their weapons at the fugitive.,The fugitive fell to the ground.,The police aimed their weapons at the fugitive.,The fugitive dropped his gun.,1
28,The patient was dehydrated.,The nurse tested his reflexes.,The patient was dehydrated.,The nurse gave him an IV.,1
29,The girl found the missing puzzle piece.,She completed the puzzle.,The girl found the missing puzzle piece.,She took apart the puzzle.,0
30,He wanted to shut off the alarm clock.,The man urgently leaped out of bed.,He wanted to iron his pants before work.,The man urgently leaped out of bed.,0
31,The papers were disorganized.,I made photocopies of them.,The papers were disorganized.,I put them into alphabetical order.,1
32,The woman won the lottery.,She bought a yacht.,The woman won the lottery.,She joined a church.,0
33,The seamstress pushed the threaded needle into the fabric.,The thread wrapped around the needle.,The seamstress pushed the threaded needle into the fabric.,The thread went through the fabric.,1
34,She decided to sue her employer.,The woman hired a lawyer.,She decided to run for office.,The woman hired a lawyer.,0
35,My favorite song came on the radio.,I covered my ears.,My favorite song came on the radio.,I sang along to it.,1
36,The applicant failed a background check.,The executive decided not to hire the applicant.,The applicant had experience for the job.,The executive decided not to hire the applicant.,0
37,The man's eye became infected.,He went blind.,The man's eye became infected.,He put on glasses.,0
38,She saw a black cat.,The girl made a wish.,She saw a shooting star.,The girl made a wish.,1
39,The woman shivered as she got out the pool.,She wrapped herself in a towel.,The woman shivered as she got out the pool.,She poured herself some lemonade.,0
40,The nurse prepared the needle for the patient's injection.,The patient bled.,The nurse prepared the needle for the patient's injection.,The patient tensed up.,1
41,It was fresh.,The man threw out the bread.,It was stale.,The man threw out the bread.,1
42,They had a pillow fight.,The children knocked over a lamp.,They jumped on the bed.,The children knocked over a lamp.,0
43,I was thirsty.,I drank from the water fountain.,I felt nauseous.,I drank from the water fountain.,0
44,The bodybuilder lifted weights.,The gym closed.,The bodybuilder lifted weights.,Her muscles became fatigued.,1
45,The cook stirred the ingredients in the bowl.,The ingredients melted.,The cook stirred the ingredients in the bowl.,The ingredients blended together.,1
46,The man signed the document.,The transaction was voided.,The man signed the document.,The transaction became official.,1
47,The police officer dropped the gun.,The gun recoiled.,The police officer dropped the gun.,The gun went off.,1
48,The woman felt compelled to help someone in need.,She donated blood.,The woman felt compelled to help someone in need.,She wrote a poem.,0
49,The woman felt lonely.,She renovated her kitchen.,The woman felt lonely.,She adopted a cat.,1
50,I rubbed sandpaper on the wood.,The wood became smooth.,I rubbed sandpaper on the wood.,The wood became sticky.,0
51,The crowd gave the band a standing ovation.,The band signed autographs.,The crowd gave the band a standing ovation.,The band reappeared on the stage.,1
52,The man threw his empty can onto the street.,He was jumped from behind.,The man threw his empty can onto the street.,He was fined for littering.,1
53,I forgot to eat breakfast.,My stomach growled.,I was full from breakfast.,My stomach growled.,0
54,The boaters set off a flare.,Their boat drifted to shore.,The boaters set off a flare.,Their boat was rescued.,1
55,He entered the house.,The man removed his coat.,He loosened his tie.,The man removed his coat.,0
56,The dog chewed on a bone.,The family took their dog to the veterinarian.,The dog injured his paw.,The family took their dog to the veterinarian.,1
57,The woman dangled the biscuit above the dog.,The dog jumped up.,The woman dangled the biscuit above the dog.,The dog scratched its fur.,0
58,My friend explained the rules to me.,I learned how to play the board game.,My friend got the rules wrong.,I learned how to play the board game.,0
59,He wanted to relax.,The man went away for the weekend.,He felt content.,The man went away for the weekend.,0
60,The owner was helping customers.,The shop was closed.,The shop was undergoing renovation.,The shop was closed.,1
61,The station was playing rock music.,The boy tuned the radio.,The station was coming in with static.,The boy tuned the radio.,1
62,The terrorist set off the bomb.,The bomb exploded.,The terrorist set off the bomb.,The bomb was deactivated.,0
63,The authorities vowed to protect the identity of the crime victim.,The victim struggled to recall details about the crime.,The authorities vowed to protect the identity of the crime victim.,They withheld the victim's name from the public.,1
64,He bought them on sale.,The man's clothes fit loosely.,He lost weight.,The man's clothes fit loosely.,1
65,The clock stopped ticking.,I took extra time to get ready.,The clock stopped ticking.,The clock showed the wrong time.,1
66,He got out of the car.,The man closed the umbrella.,He approached the building.,The man closed the umbrella.,1
67,The man dropped food on the floor.,His dog jumped up on him.,The man dropped food on the floor.,His dog ran over to eat the food.,1
68,The girl was angry with her friend.,The girl spread a rumor about her friend.,The girl was angry with her friend.,The girl told a secret to her friend.,0
69,The fugitive hid from the police.,The police dropped the case.,The fugitive hid from the police.,The fugitive remained at large.,1
70,I tipped the bottle.,The liquid in the bottle froze.,I tipped the bottle.,The liquid in the bottle poured out.,1
71,She came from a wealthy family.,The woman spoke with a foreign accent.,She migrated from another country.,The woman spoke with a foreign accent.,1
72,He ate a pepper.,The boy's mouth stung.,He blew out the candle.,The boy's mouth stung.,0
73,I finished a page of the book.,I ripped out the next page.,I finished a page of the book.,I turned to the next page.,1
74,There were many empty tables.,The service at the restaurant was slow.,The restaurant was crowded.,The service at the restaurant was slow.,1
75,I saw a woman getting robbed on the street.,I called 911.,I saw a woman getting robbed on the street.,I hailed a cab.,0
76,I jogged on the treadmill.,My stomach hurt.,I ate birthday cake.,My stomach hurt.,1
77,I finished eating.,I put my plate in the sink.,I skipped dinner.,I put my plate in the sink.,0
78,He finished reading it.,The man closed the book.,It provoked him to think.,The man closed the book.,0
79,His grandfather was deaf.,The boy read the novel aloud to his grandfather.,His grandfather was blind.,The boy read the novel aloud to his grandfather.,1
