,cause_0,effect_0,cause_1,effect_1,label
0,The sun was rising.,My body cast a shadow over the grass.,The grass was cut.,My body cast a shadow over the grass.,0
1,The grass was cut.,The garden looked well-groomed.,The sun was rising.,The garden looked well-groomed.,0
2,The woman knew her friend was going through a hard time.,The woman tolerated her friend's difficult behavior.,The woman felt that her friend took advantage of her kindness.,The woman tolerated her friend's difficult behavior.,0
3,The woman felt that her friend took advantage of her kindness.,The woman did not tolerate her friend's difficult behavior anymore.,The woman knew her friend was going through a hard time.,The woman did not tolerate her friend's difficult behavior anymore.,0
4,The cafe reopened in a new location.,The women met for coffee.,They wanted to catch up with each other.,The women met for coffee.,1
5,The cafe reopened in a new location.,The women were surprised.,They wanted to catch up with each other.,The women were surprised.,0
6,It was a birthday party.,The guests of the party hid behind the couch.,It was a surprise party.,The guests of the party hid behind the couch.,1
7,It was a birthday party.,The guests of the party brought candles.,It was a surprise party.,The guests of the party brought candles.,0
8,No one voted for him.,The politician lost the election.,He ran negative campaign ads.,The politician lost the election.,0
9,No one voted for him.,The politician won the election.,He ran negative campaign ads.,The politician won the election.,1
10,I patched the shirt.,The stain came out of the shirt.,I bleached the shirt.,The stain came out of the shirt.,1
11,I patched the shirt.,The shirt did not have a hole anymore.,I bleached the shirt.,The shirt did not have a hole anymore.,0
12,He greeted the cashier.,The man got a discount on his groceries.,He used a coupon.,The man got a discount on his groceries.,1
13,He used a coupon.,The man looked friendly.,He greeted the cashier.,The man looked friendly.,1
14,The physician misdiagnosed the patient.,The patient disclosed confidential information to the physician.,The physician misdiagnosed the patient.,The patient filed a malpractice lawsuit against the physician.,1
15,The patient was a close friend of the physician.,The patient disclosed confidential information to the physician.,The patient was a close friend of the physician.,The patient filed a malpractice lawsuit against the physician.,0
16,The sales associate acted rude to the customer.,The customer filed a complaint with the store manager.,The sales associate undercharged the customer.,The customer filed a complaint with the store manager.,0
17,The sales associate undercharged the customer.,The sales associate sent another invoice to the customer. ,The sales associate acted rude to the customer.,The sales associate sent another invoice to the customer. ,0
18,The faucet was leaky.,The woman repaired her faucet.,The faucet was turned off.,The woman repaired her faucet.,0
19,The faucet was leaky.,The woman could not wash her hands.,The faucet was turned off.,The woman could not wash her hands.,1
20,The elderly woman suffered a stroke.,The woman's daughter came over to clean her house.,The elderly woman suffered a stroke.,The woman's daughter moved in to take care of her.,1
21,The elderly woman made a phone call.,The woman's daughter came over to clean her house.,The elderly woman made a phone call.,The woman's daughter moved in to take care of her.,0
22,The pond froze over for the winter.,People brought boats to the pond.,The pond froze over for the winter.,People skated on the pond.,1
23,The frozen pond thawed in the spring.,People brought boats to the pond.,The frozen pond thawed in the spring.,People skated on the pond.,0
24,The offender violated parole.,She was sent back to jail.,The offender violated parole.,She stole money from a church.,0
25,The offender was poor.,She was sent back to jail.,The offender was poor.,She stole money from a church.,1
26,Her friend stuck an ice cube down her back.,The girl gasped.,Her friend gave her a pat on the back.,The girl gasped.,0
27,Her friend stuck an ice cube down her back.,The girl smiled.,Her friend gave her a pat on the back.,The girl smiled.,1
28,I put it in the dryer.,The shirt shrunk.,I poured bleach on it.,The shirt shrunk.,0
29,I poured bleach on it.,The shirt became clean.,I put it in the dryer.,The shirt became clean.,0
30,It got dark outside.,Snowflakes began to fall from the sky.,It got dark outside.,The moon became visible in the sky.,1
31,It got cold outside.,Snowflakes began to fall from the sky.,It got cold outside.,The moon became visible in the sky.,0
32,The caller said goodbye to me.,I hung up the phone.,The caller identified himself to me.,I hung up the phone.,0
33,The caller identified himself to me.,I recognized the caller.,The caller said goodbye to me.,I recognized the caller.,0
34,The woman's ring slipped off in the shower.,The woman polished the ring.,The woman's ring slipped off in the shower.,The ring went down the drain.,1
