Unnamed: 0,cause_0,effect_0,cause_1,effect_1,label
0,My body cast a shadow over the grass.,The sun was rising.,My body cast a shadow over the grass.,The grass was cut.,0
1,The woman tolerated her friend's difficult behavior.,The woman knew her friend was going through a hard time.,The woman tolerated her friend's difficult behavior.,The woman felt that her friend took advantage of her kindness.,0
2,The women met for coffee.,The cafe reopened in a new location.,The women met for coffee.,They wanted to catch up with each other.,1
3,The guests of the party hid behind the couch.,It was a surprise party.,The guests of the party hid behind the couch.,It was a birthday party.,0
4,The politician lost the election.,He ran negative campaign ads.,The politician lost the election.,No one voted for him.,1
5,The stain came out of the shirt.,I patched the shirt.,The stain came out of the shirt.,I bleached the shirt.,1
6,The man got a discount on his groceries.,He greeted the cashier.,The man got a discount on his groceries.,He used a coupon.,1
7,The patient filed a malpractice lawsuit against the physician.,The physician misdiagnosed the patient.,The patient disclosed confidential information to the physician.,The physician misdiagnosed the patient.,0
8,The customer filed a complaint with the store manager.,The sales associate undercharged the customer.,The customer filed a complaint with the store manager.,The sales associate acted rude to the customer.,1
9,The woman repaired her faucet.,The faucet was leaky.,The woman repaired her faucet.,The faucet was turned off.,0
10,The woman's daughter came over to clean her house.,The elderly woman suffered a stroke.,The woman's daughter moved in to take care of her.,The elderly woman suffered a stroke.,1
11,People skated on the pond.,The pond froze over for the winter.,People brought boats to the pond.,The pond froze over for the winter.,0
12,She was sent back to jail.,The offender violated parole.,She stole money from a church.,The offender violated parole.,0
13,The girl gasped.,Her friend stuck an ice cube down her back.,The girl gasped.,Her friend gave her a pat on the back.,0
14,The shirt shrunk.,I poured bleach on it.,The shirt shrunk.,I put it in the dryer.,1
15,Snowflakes began to fall from the sky.,It got dark outside.,The moon became visible in the sky.,It got dark outside.,1
16,I hung up the phone.,The caller said goodbye to me.,I hung up the phone.,The caller identified himself to me.,0
17,The woman polished the ring.,The woman's ring slipped off in the shower.,The ring went down the drain.,The woman's ring slipped off in the shower.,1
18,The girl received a trophy.,She won a spelling bee.,The girl received a trophy.,She made a new friend.,0
